epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0164,1.79454,2.43467,1.71135,0.40463,0.51593,0.35471,0.19401,1.60933,4.44671,1.76595,0.0673995,0.000496454,0.000496454
2,24.8575,1.66036,2.00454,1.62635,0.72995,0.59398,0.63888,0.35847,1.54765,1.71578,1.7065,0.0345563,0.000986589,0.000986589
3,37.3224,1.65168,1.97525,1.62544,0.73383,0.62958,0.67154,0.36695,1.53286,2.071,1.68205,0.00170323,0.00146682,0.00146682
4,49.6649,1.60182,1.71315,1.60939,0.75576,0.62597,0.71204,0.38974,1.48854,1.57189,1.59078,0.00145545,0.00145545,0.00145545
5,62.161,1.59619,1.75197,1.54846,0.7528,0.5911,0.72145,0.4466,1.39171,1.61163,1.50046,0.0014406,0.0014406,0.0014406
6,74.6115,1.55984,1.59848,1.55674,0.71136,0.69442,0.77808,0.47822,1.37863,1.40306,1.4787,0.00142575,0.00142575,0.00142575
7,86.7224,1.51117,1.5029,1.53036,0.76816,0.63158,0.74102,0.40871,1.47178,1.55524,1.58097,0.0014109,0.0014109,0.0014109
8,99.3257,1.53016,1.46985,1.48931,0.69968,0.74729,0.77642,0.46376,1.42008,1.31184,1.47118,0.00139605,0.00139605,0.00139605
9,111.681,1.4559,1.4141,1.46355,0.85592,0.71791,0.8166,0.5294,1.29661,1.1692,1.44539,0.0013812,0.0013812,0.0013812
10,123.87,1.42876,1.37801,1.46963,0.8311,0.69291,0.81583,0.49993,1.32349,1.24775,1.44542,0.00136635,0.00136635,0.00136635
11,136.08,1.45343,1.30191,1.43797,0.71567,0.65951,0.75111,0.49807,1.17613,1.40936,1.30156,0.0013515,0.0013515,0.0013515
12,148.524,1.44582,1.29835,1.42027,0.80384,0.70149,0.85193,0.53525,1.22792,1.38336,1.36014,0.00133665,0.00133665,0.00133665
13,160.855,1.37172,1.31863,1.40821,0.7703,0.73021,0.83453,0.55358,1.21479,1.15304,1.36936,0.0013218,0.0013218,0.0013218
14,173.257,1.32963,1.20223,1.38327,0.83969,0.7889,0.87258,0.57906,1.16419,1.04119,1.30935,0.00130695,0.00130695,0.00130695
15,185.51,1.41301,1.2305,1.40109,0.8577,0.78054,0.86416,0.54129,1.26857,1.14928,1.39294,0.0012921,0.0012921,0.0012921
16,197.99,1.34399,1.21395,1.3935,0.86979,0.77388,0.8837,0.601,1.17008,0.95949,1.33925,0.00127725,0.00127725,0.00127725
17,210.228,1.3367,1.16691,1.36849,0.88384,0.79297,0.90488,0.60182,1.14828,1.00929,1.2828,0.0012624,0.0012624,0.0012624
18,222.591,1.34016,1.16099,1.35819,0.88804,0.81046,0.89843,0.60238,1.17487,1.00378,1.3357,0.00124755,0.00124755,0.00124755
19,234.91,1.31587,1.12241,1.35512,0.89583,0.83808,0.90771,0.63088,1.1226,0.92761,1.2849,0.0012327,0.0012327,0.0012327
20,247.343,1.27649,1.13142,1.35277,0.90365,0.86514,0.9213,0.64364,1.09942,0.83293,1.27001,0.00121785,0.00121785,0.00121785
21,259.507,1.32129,1.15786,1.3704,0.72451,0.77404,0.82305,0.54489,1.08269,1.11784,1.2356,0.001203,0.001203,0.001203
22,272.067,1.28198,1.10301,1.3582,0.8617,0.86845,0.9126,0.63508,1.08406,0.80411,1.25189,0.00118815,0.00118815,0.00118815
23,284.447,1.24288,1.04381,1.30991,0.8824,0.84266,0.92006,0.63263,1.0791,0.88807,1.26274,0.0011733,0.0011733,0.0011733
24,296.727,1.22981,1.06154,1.32471,0.87977,0.86173,0.91045,0.63078,1.11312,0.8557,1.27422,0.00115845,0.00115845,0.00115845
25,308.937,1.23287,1.06187,1.30169,0.90753,0.87861,0.92564,0.6634,1.05813,0.84292,1.24336,0.0011436,0.0011436,0.0011436
26,321.315,1.20873,1.04616,1.31343,0.90927,0.87186,0.93488,0.65801,1.08818,0.76372,1.27246,0.00112875,0.00112875,0.00112875
27,333.809,1.23023,1.02265,1.2897,0.93158,0.90813,0.94682,0.67311,1.05006,0.74186,1.21187,0.0011139,0.0011139,0.0011139
28,346.582,1.1642,0.98372,1.25147,0.92531,0.86714,0.94976,0.67122,1.00812,0.73635,1.19623,0.00109905,0.00109905,0.00109905
29,358.663,1.21334,1.00983,1.28746,0.90321,0.89276,0.92592,0.6654,1.05629,0.76828,1.21932,0.0010842,0.0010842,0.0010842
30,371.121,1.18778,0.97188,1.25547,0.90482,0.88217,0.93253,0.6762,1.01805,0.77062,1.19615,0.00106935,0.00106935,0.00106935
31,383.562,1.15929,0.93564,1.27948,0.93853,0.87658,0.94106,0.68218,0.99771,0.71394,1.1876,0.0010545,0.0010545,0.0010545
32,395.607,1.1605,0.96464,1.26239,0.95171,0.87513,0.93576,0.66769,1.04165,0.78923,1.20528,0.00103965,0.00103965,0.00103965
33,407.775,1.16471,0.95886,1.26165,0.95114,0.86126,0.93708,0.69715,0.9798,0.71333,1.19227,0.0010248,0.0010248,0.0010248
34,420.081,1.18039,1.00356,1.29655,0.90443,0.89986,0.94285,0.66884,0.98748,0.69964,1.20761,0.00100995,0.00100995,0.00100995
35,432.14,1.14391,0.9082,1.25125,0.93011,0.89752,0.94265,0.68468,0.97041,0.7038,1.19422,0.0009951,0.0009951,0.0009951
36,444.437,1.14077,0.91103,1.25332,0.95278,0.88832,0.94667,0.69764,0.97033,0.67801,1.17584,0.00098025,0.00098025,0.00098025
37,456.578,1.08433,0.93701,1.20117,0.89432,0.90749,0.94038,0.68015,0.99943,0.71458,1.18571,0.0009654,0.0009654,0.0009654
38,468.729,1.1635,0.92707,1.26388,0.92692,0.90296,0.94357,0.68065,1.00757,0.71808,1.20719,0.00095055,0.00095055,0.00095055
39,481.056,1.10441,0.88002,1.22224,0.95881,0.9083,0.96326,0.71894,0.94197,0.62843,1.16053,0.0009357,0.0009357,0.0009357
40,493.421,1.13703,0.83911,1.22404,0.96576,0.91557,0.96721,0.70466,0.95004,0.62611,1.14723,0.00092085,0.00092085,0.00092085
41,505.669,1.06766,0.86199,1.21779,0.96828,0.86406,0.9577,0.71595,0.95187,0.60909,1.15679,0.000906,0.000906,0.000906
42,518.355,1.1131,0.8503,1.20941,0.94473,0.90878,0.95337,0.69137,0.97278,0.62168,1.13735,0.00089115,0.00089115,0.00089115
43,530.266,1.09105,0.84781,1.211,0.95978,0.92159,0.96285,0.72618,0.89352,0.59285,1.10529,0.0008763,0.0008763,0.0008763
44,542.9,1.05213,0.83732,1.20879,0.96426,0.89986,0.95941,0.72648,0.90136,0.62721,1.11083,0.00086145,0.00086145,0.00086145
45,555.096,1.07487,0.85276,1.19615,0.94862,0.90479,0.96321,0.71733,0.90931,0.59382,1.11166,0.0008466,0.0008466,0.0008466
46,567.263,1.09536,0.82647,1.20986,0.96462,0.90878,0.96081,0.72993,0.90987,0.59631,1.12319,0.00083175,0.00083175,0.00083175
47,579.596,1.07443,0.77447,1.17156,0.96531,0.89072,0.9643,0.72703,0.87844,0.63345,1.10281,0.0008169,0.0008169,0.0008169
48,591.747,1.03523,0.80115,1.1829,0.94415,0.91337,0.96147,0.74197,0.89215,0.60597,1.12672,0.00080205,0.00080205,0.00080205
49,603.995,1.06906,0.81615,1.17486,0.93915,0.90492,0.96573,0.72983,0.8957,0.58612,1.12378,0.0007872,0.0007872,0.0007872
50,616.363,1.03558,0.81086,1.17059,0.95927,0.92755,0.97117,0.74274,0.87386,0.57638,1.09254,0.00077235,0.00077235,0.00077235
51,629.036,1.06025,0.80987,1.19552,0.9439,0.92534,0.96,0.74347,0.86423,0.59534,1.10143,0.0007575,0.0007575,0.0007575
52,641.151,1.00004,0.76938,1.15305,0.96189,0.93919,0.97469,0.7266,0.88767,0.59305,1.11768,0.00074265,0.00074265,0.00074265
53,653.341,1.01831,0.77175,1.16768,0.96083,0.94203,0.96891,0.73482,0.87993,0.54862,1.11506,0.0007278,0.0007278,0.0007278
54,665.672,1.00801,0.76342,1.16546,0.97101,0.92909,0.97397,0.73869,0.87289,0.52777,1.10484,0.00071295,0.00071295,0.00071295
55,677.945,1.03953,0.78047,1.16413,0.98102,0.9235,0.97291,0.75082,0.8584,0.52783,1.09856,0.0006981,0.0006981,0.0006981
56,690.604,0.97278,0.75216,1.14991,0.97572,0.94487,0.97604,0.751,0.85057,0.52587,1.08456,0.00068325,0.00068325,0.00068325
57,702.822,0.98615,0.7123,1.13216,0.95922,0.95046,0.9724,0.7529,0.81712,0.51737,1.07861,0.0006684,0.0006684,0.0006684
58,714.741,0.97096,0.7345,1.15878,0.96237,0.94002,0.97092,0.76491,0.78784,0.533,1.04714,0.00065355,0.00065355,0.00065355
59,726.951,0.99087,0.73891,1.19481,0.9423,0.92436,0.96713,0.75295,0.80875,0.55838,1.04091,0.0006387,0.0006387,0.0006387
